ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
PrescFire.2020.kikrcs.chn_12_Watershed_7_Ward,PrescFire.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,18636671.0,805.3076401222005,1777.5,768.0740462270388,931.6,402.5529009648998,1819.7,786.30905311918,0.672,1561.5,0.6747384659260316,0.21150000000000002,384.8665500000001,166.30436473470658
PrescFire.2020.kikrcs.chn_12_Watershed_11_General,PrescFire.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,12761270.0,701.2842776281805,132.1,72.59438368961916,464.8,255.42671868989393,240.3,132.0547342968621,0.403,268.1,0.14733197779853824,0.33490000000000003,80.47647,44.22513051601912
PrescFire.2020.kikrcs.chn_12_Watershed_9_Blackwood,PrescFire.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,23782471.0,890.3724350166788,6230.0,2332.39862676755,3011.0,1127.2636059706408,2529.6,947.0362064640761,0.274,2153.3,0.8061563343528998,0.33340000000000003,843.36864,315.74187123512297
SimFire.2020.kikrcs.chn_12.2fA2p.obs_cli_Watershed_11_General,SimFire.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,13864268.0,761.8985547068198,1255.1,689.7290762213552,761.8,418.64043523657745,400.6,220.1461779414189,0.199,400.9,0.22031104028136506,0.3456,138.44736,76.08251909655438
SimFire.2020.kikrcs.chn_12.2fA2p.obs_cli_Watershed_7_Ward,SimFire.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,19664783.0,849.7333022214732,18162.2,7848.0531321433045,7410.3,3202.058568076639,8603.1,3717.4783837388677,0.336,7010.3,3.0292149008525513,0.2622,2255.73282,974.7228322163312
SimFire.2020.kikrcs.chn_12.2fA2p.obs_cli_Watershed_9_Blackwood,SimFire.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,24983169.0,935.3243831123857,54673.9,20468.91320706683,47362.2,17731.54578502248,12002.4,4493.48014091731,0.118,9740.9,3.646815695582669,0.32889999999999997,3947.5893599999995,1477.905618347703
SimFire.2020.kikrcs.chn_12.2fA2p.fut_cli_Watershed_7_Ward,SimFire.2020.kikrcs.chn,Watershed_7_Ward,2314.23,47261782.0,2042.224930106342,34367414.0,1485.0474671921115,48798.6,21086.32244850339,76623.4,33109.67362794536,14610.3,6313.244578110213,0.116,11880.9,5.133845814806652,0.2931,4282.27893,1850.4119858441038
SimFire.2020.kikrcs.chn_12.2fA2p.fut_cli_Watershed_9_Blackwood,SimFire.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,55831750.0,2090.239117656969,41230791.0,1543.605783450078,124869.8,46748.980745543915,138863.3,51987.89249252172,33554.7,12562.26905322586,0.127,27066.0,10.13301785426814,0.379,12717.2313,4761.099971172601
SimFire.2020.kikrcs.chn_12.2fA2p.fut_cli_Watershed_11_General,SimFire.2020.kikrcs.chn,Watershed_11_General,1819.7,26939590.0,1480.4412815299224,18372006.0,1009.6172995548717,4496.4,2470.9567511128207,1112.0,611.089740067044,883.7,485.62949936802767,0.158,1639.0,0.9006979172391053,0.33320000000000005,294.4488400000001,161.81174918942688
SimFire.2020.kikrcs.chn_12_Watershed_9_Blackwood,SimFire.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,24997713.0,935.8688840052863,63959.6,23945.310306356627,49892.9,18678.993811468812,18212.5,6818.428569824077,0.16,14706.7,5.505920848199411,0.2752,5012.08,1876.4315424155861
SimFire.2020.kikrcs.chn_12_Watershed_11_General,SimFire.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,13882006.0,762.873330768808,1445.9,794.5815244271033,636.0,349.5081606858273,407.6,223.99296587349562,0.196,422.1,0.23196131230422598,0.359,146.32840000000002,80.41347474858495
SimFire.2020.kikrcs.chn_12_Watershed_7_Ward,SimFire.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,19698095.0,851.1727442821154,20132.2,8699.308193221936,8030.5,3470.0526741075864,9150.0,3953.7988877510015,0.325,7434.5,3.2125156099436962,0.2487,2275.605,983.309783383674
Thinn85.2020.kikrcs.chn_12_Watershed_11_General,Thinn85.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,13152672.0,722.7934274880474,141.5,77.76007034126503,508.4,279.38671209540036,257.1,141.28702533384626,0.396,283.2,0.15563004890916085,0.33030000000000004,84.92013000000001,46.66710446776942
Thinn85.2020.kikrcs.chn_12_Watershed_7_Ward,Thinn85.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,19190766.0,829.2505930698331,2394.6,1034.7286138369998,1367.0,590.693232738319,2271.3,981.4495534151748,0.604,1931.9,0.8347917017755366,0.2121,481.74273000000005,208.1654502793586
Thinn85.2020.kikrcs.chn_12_Watershed_9_Blackwood,Thinn85.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,24376308.0,912.6046116350376,7555.8,2828.754019924599,2457.9,920.1930312571366,2999.9,1123.107967967893,0.3,2534.1,0.9487209245732983,0.2858,857.3714200000001,320.98425724522383
Thinn93.2020.kikrcs.chn_12_Watershed_11_General,Thinn93.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,13180454.0,724.3201626641754,129.3,71.05566851678849,534.8,293.89459801066107,261.7,143.8149145463538,0.394,313.0,0.17200637467714458,0.3218,84.21506,46.279639501016646
Thinn93.2020.kikrcs.chn_12_Watershed_7_Ward,Thinn93.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,19230424.0,830.9642516085264,2119.1,915.6825380364095,1127.0,486.9870324038665,2106.6,910.2811734356568,0.649,1798.5,0.7771483387563034,0.2122,447.02052,193.16166500304635
Thinn93.2020.kikrcs.chn_12_Watershed_9_Blackwood,Thinn93.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,24403564.0,913.6250266747033,6996.3,2619.2874016779792,6358.5,2380.5066883308937,2814.7,1053.7724582283504,0.211,2386.0,0.8932749796897872,0.2935,826.1144499999999,309.2822164900208
Thinn96.2020.kikrcs.chn_12_Watershed_11_General,Thinn96.2020.kikrcs.chn,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,13200827.0,725.4397428147497,125.5,68.96741221080397,640.2,351.81623344507335,271.9,149.4202341045227,0.355,335.3,0.1842611419464747,0.3318,90.21641999999999,49.57763367588063
Thinn96.2020.kikrcs.chn_12_Watershed_7_Ward,Thinn96.2020.kikrcs.chn,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,19260983.0,832.2847340152016,2026.9,875.8420727412573,1069.3,462.0543334067919,2035.9,879.7310552537994,0.658,1847.8,0.7984513207416721,0.2102,427.94618,184.91946781434865
Thinn96.2020.kikrcs.chn_12_Watershed_9_Blackwood,Thinn96.2020.kikrcs.chn,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,24425128.0,914.4323435926426,6810.3,2549.652386496797,2339.9,876.0159786153114,2717.1,1017.2327943483323,0.297,2307.2,0.863773693688297,0.2945,800.1859499999999,299.57505793558386
